player_id,name,team,pos,toi_all,toi5,toi_pp,toi_sh,ev_off,ev_def,pp,sh,penalties,finishing,gar,war,off,def,pp_off,sh_def,goals,ixg,pen_drawn,pen_taken,kind,xg_faced,ga,gsax
8477492,Nathan MacKinnon,COL,F,1780.95,1305.0333,327.2333,2.3833,11.7712,-2.0224,2.991,0.003,1.1456,10.799,24.6874,4.0403,0.5051,0.0829,0.5341,-0.0533,45.0,37.8065,20.0,13.0,skater,,,
8481540,Cole Caufield,MTL,F,1476.0333,1080.05,249.1,0.4,3.8999,-0.2158,1.9347,0.0002,1.3926,15.5963,22.608,3.7,0.1806,0.0019,0.4517,-0.0107,51.0,38.3919,16.0,7.0,skater,,,
8476453,Nikita Kucherov,TBL,F,1547.3333,1110.4,307.8333,1.5167,6.2856,-1.487,1.4762,0.0009,1.2611,14.6022,22.1391,3.6233,0.3036,0.0703,0.2734,-0.0136,37.0,25.5303,27.0,19.0,skater,,,
8480027,Jason Robertson,DAL,F,1664.25,1214.5833,301.95,1.4333,6.0519,-0.0453,3.7194,0.0001,1.1341,9.4531,20.3134,3.3245,0.2629,-0.0078,0.7248,0.0164,44.0,37.9161,23.0,16.0,skater,,,
8478402,Connor McDavid,EDM,F,1886.4833,1376.9333,279.2,85.2167,9.1034,-2.4672,4.3125,0.7145,4.6201,3.9466,20.2299,3.3108,0.3606,0.0974,0.9124,-0.4815,41.0,40.8726,54.0,22.0,skater,,,
8484801,Macklin Celebrini,SJS,F,1751.6167,1304.8667,281.1833,14.0,4.6279,-0.3033,1.2904,0.0569,1.8355,12.6669,20.1744,3.3017,0.1767,0.0039,0.261,-0.2225,40.0,30.8793,34.0,22.0,skater,,,
8479987,Morgan Geekie,BOS,F,1409.8667,1088.1167,230.0167,0.2333,0.321,-1.3799,1.6437,0.0001,1.2476,16.9601,18.7926,3.0756,-0.0184,0.066,0.4144,-0.0061,38.0,23.8942,19.0,11.0,skater,,,
8476887,Filip Forsberg,NSH,F,1548.7167,1181.9,231.5667,1.6,2.0057,-0.0183,0.7986,-0.0035,0.707,14.4423,17.9318,2.9347,0.0657,-0.0091,0.1926,0.1536,37.0,25.6931,21.0,17.0,skater,,,
8478483,Mitch Marner,VGK,F,1617.0833,1102.4333,272.95,99.3,2.1872,1.0924,2.8362,0.605,0.9909,9.6978,17.4094,2.8492,0.083,-0.0695,0.6091,-0.344,24.0,17.5759,18.0,12.0,skater,,,
8478460,Zach Werenski,CBJ,D,1997.55,1545.8833,214.7667,91.6667,7.5529,2.3967,0.2363,-0.2738,1.6437,5.7595,17.3153,2.8338,0.2712,-0.0746,0.0658,0.1629,22.0,17.3155,11.0,9.0,skater,,,
8477934,Leon Draisaitl,EDM,F,1402.3833,1034.2833,220.7833,27.8667,5.0614,-0.8215,1.9805,0.1175,-0.1388,11.0074,17.2064,2.816,0.2575,0.0376,0.5239,-0.2315,34.0,25.8317,11.0,13.0,skater,,,
8480023,Robert Thomas,STL,F,1218.75,895.3667,157.5667,80.9167,4.1648,1.4764,0.9922,-0.0184,-0.2955,10.3704,16.6899,2.7315,0.243,-0.109,0.3635,0.0352,22.0,14.097,8.0,11.0,skater,,,
8480039,Martin Necas,COL,F,1676.85,1261.8667,305.3167,0.35,3.5818,-2.0827,0.6557,0.0002,2.2438,12.1722,16.571,2.712,0.1342,0.089,0.1145,-0.0087,35.0,26.2226,30.0,15.0,skater,,,
8482740,Wyatt Johnston,DAL,F,1650.6167,1195.85,272.8167,39.5333,5.7048,-4.4365,2.7725,-0.0153,0.1628,11.9202,16.1086,2.6363,0.2502,0.2125,0.5954,0.0447,44.0,35.4215,16.0,16.0,skater,,,
