player_id,name,team,pos,toi_all,toi5,toi_pp,toi_sh,ev_off,ev_def,pp,sh,penalties,finishing,gar,war,off,def,pp_off,sh_def,goals,ixg,pen_drawn,pen_taken,kind,xg_faced,ga,gsax
8478398,Kyle Connor,WPG,F,1612.6667,1232.2,207.4333,64.2333,3.0757,-0.1653,1.3468,0.1822,0.2902,12.048,16.7776,2.7458,0.1183,0.0072,0.3169,-0.1856,38.0,30.5582,13.0,11.0,skater,,,
8479337,Alex DeBrincat,DET,F,1397.2333,1074.6,222.7833,1.95,2.4869,-0.7006,2.4148,0.0006,2.0264,10.3748,16.6029,2.7172,0.1074,0.0383,0.5777,-0.0325,37.0,30.616,27.0,12.0,skater,,,
8471675,Sidney Crosby,PIT,F,1567.9333,1217.3667,227.1667,4.6333,5.6417,-0.8954,1.486,0.0025,0.5571,9.6841,16.4759,2.6964,0.2466,0.0433,0.3198,-0.0476,30.0,24.7943,18.0,14.0,skater,,,
8481559,Jack Hughes,NJD,F,1295.85,949.7833,186.95,50.5833,5.9244,1.6653,1.8619,0.1531,1.0885,5.7508,16.4439,2.6912,0.3428,-0.106,0.5249,-0.197,27.0,24.9505,16.0,8.0,skater,,,
8482077,Dylan Holloway,STL,F,1295.7833,1082.6833,124.95,17.0333,2.1234,2.8121,-0.0219,0.0015,1.0885,10.2582,16.2619,2.6614,0.0862,-0.1566,-0.0832,-0.0209,24.0,17.4428,13.0,5.0,skater,,,
8477949,Alex Tuch,BUF,F,1503.9,1029.7167,173.1833,162.9333,1.1698,1.183,0.332,-0.6934,-0.7816,14.8137,16.0234,2.6224,0.0367,-0.0697,0.0423,0.2399,34.0,23.4818,13.0,19.0,skater,,,
8477492,Nathan MacKinnon,COL,F,1773.8833,1323.1333,279.9833,3.3333,11.0777,0.1855,1.9707,0.0028,1.4965,1.2858,16.019,2.6217,0.4709,-0.0092,0.3496,-0.0657,28.0,31.7808,25.0,14.0,skater,,,
8471214,Alex Ovechkin,WSH,F,1120.4,791.1833,252.3167,1.3333,0.6749,-3.1755,-0.1607,-0.0002,-0.5194,19.1958,16.0148,2.621,0.0197,0.24,-0.1109,-0.0049,36.0,20.0044,3.0,7.0,skater,,,
8478403,Jack Eichel,VGK,F,1581.0833,1139.1667,206.9667,108.5333,4.0717,-0.3879,1.8294,-0.0827,1.4938,8.8573,15.7815,2.5828,0.183,0.0196,0.4576,0.0303,27.0,22.6587,15.0,4.0,skater,,,
8477942,Kevin Fiala,LAK,F,1442.5167,1142.95,214.5333,0.8,2.4299,1.4199,0.3484,-0.0003,-0.3811,11.9636,15.7804,2.5826,0.0961,-0.0753,0.0248,0.0069,33.0,25.1566,15.0,18.0,skater,,,
8478010,Brayden Point,TBL,F,1445.15,1083.8333,242.1333,1.6833,2.2647,-2.7569,2.0084,0.0002,1.4919,12.5104,15.5187,2.5398,0.0939,0.1518,0.425,-0.0215,40.0,31.6173,13.0,2.0,skater,,,
8480039,Martin Necas,COL,F,1443.65,1062.2667,259.3333,3.9167,3.7372,-1.4195,1.844,0.0006,2.1608,9.1203,15.4434,2.5275,0.1796,0.0794,0.3539,-0.0252,26.0,21.0032,24.0,8.0,skater,,,
8482116,Tim Stützle,OTT,F,1571.0,1173.05,253.9167,1.5833,2.9235,0.7813,1.288,0.0006,2.564,7.5783,15.1358,2.4771,0.118,-0.0408,0.2317,-0.0399,22.0,18.9089,37.0,18.0,skater,,,
8480014,Gabriel Vilardi,WPG,F,1287.6667,1051.75,185.9333,0.55,1.718,-0.9165,0.8324,-0.0,1.4897,11.9695,15.093,2.4701,0.0665,0.0515,0.1959,-0.0112,27.0,18.7084,17.0,6.0,skater,,,
8482079,Marco Rossi,MIN,F,1444.5833,1171.8167,181.55,3.1333,3.7616,0.6574,0.5281,-0.0034,1.2243,8.8926,15.0606,2.4648,0.1611,-0.0345,0.1018,0.0489,24.0,19.2335,22.0,13.0,skater,,,
8481581,Thomas Harley,DAL,D,1775.5833,1386.8667,177.0667,112.4833,5.6287,1.4858,1.443,0.4675,0.9654,5.0664,15.0569,2.4642,0.2175,-0.0414,0.3816,-0.3011,16.0,11.5103,4.0,8.0,skater,,,
8480018,Nick Suzuki,MTL,F,1557.3333,1121.6333,245.4833,48.2667,3.8504,-0.9744,0.3195,0.1101,1.0921,10.3603,14.758,2.4153,0.1745,0.0513,0.0054,-0.1523,28.0,22.0878,12.0,4.0,skater,,,
8475172,Nazem Kadri,CGY,F,1528.45,1186.0667,210.25,5.6667,1.9389,-1.2632,-0.2472,0.0058,2.162,11.9991,14.5955,2.3887,0.0666,0.0631,-0.1432,-0.0772,33.0,25.3665,38.0,22.0,skater,,,
8476456,Jonathan Huberdeau,CGY,F,1524.3833,1097.4167,205.5667,98.4,1.152,-0.2899,0.541,-0.0123,0.9579,12.162,14.5107,2.3748,0.0315,0.015,0.0852,-0.0079,26.0,18.1921,24.0,17.0,skater,,,
8476483,Rickard Rakell,PIT,F,1510.95,1204.4833,196.1667,0.5333,2.0106,0.5363,1.0692,-0.0,0.4225,10.3188,14.3574,2.3497,0.0687,-0.0275,0.2543,-0.0119,34.0,27.9968,10.0,7.0,skater,,,
8471685,Anze Kopitar,LAK,F,1477.6333,1100.3,192.65,75.5167,0.9661,-0.0733,-0.2258,-0.4002,1.3586,12.5487,14.1741,2.3197,0.0212,0.0032,-0.143,0.3026,20.0,11.6718,12.0,2.0,skater,,,
8481656,Aliaksei Protas,WSH,F,1250.6667,1050.0833,9.6667,117.6167,3.1041,-0.5473,0.0024,0.2012,0.954,10.3321,14.0465,2.2989,0.1459,0.0305,-0.0578,-0.118,25.0,18.2401,16.0,9.0,skater,,,
8480800,Quinn Hughes,VAN,D,1638.4,1279.2833,221.7667,10.5667,3.8319,2.0871,1.5747,0.0009,2.4549,3.8416,13.7911,2.2571,0.1537,-0.075,0.3187,-0.0566,16.0,12.6906,16.0,8.0,skater,,,
8477987,Ryan Donato,CHI,F,1231.4667,1022.1167,139.9333,3.35,1.4689,-1.552,-0.7426,0.0014,0.151,14.299,13.6258,2.23,0.0547,0.0903,-0.3911,-0.0398,29.0,18.2183,15.0,14.0,skater,,,
8478460,Zach Werenski,CBJ,D,2079.6167,1614.5167,202.0333,124.1833,6.2624,1.5425,0.5552,-0.127,1.7575,3.5504,13.541,2.2161,0.2067,-0.0345,0.0575,0.0097,23.0,20.1251,14.0,14.0,skater,,,
8481540,Cole Caufield,MTL,F,1407.5167,1077.4667,225.5667,0.9167,2.8455,-2.2521,0.2933,-0.0008,1.6252,10.9693,13.4804,2.2062,0.127,0.1246,0.0053,0.0354,37.0,30.0509,19.0,7.0,skater,,,
8477940,Nikolaj Ehlers,WPG,F,1068.5667,832.8833,161.15,1.5667,2.5827,0.3051,1.3394,-0.0003,2.2893,6.8632,13.3794,2.1897,0.1546,-0.0228,0.426,-0.0026,22.0,18.1889,24.0,7.0,skater,,,
